PLAYER_NAME,Anatomical sub-areas,TEAM_ABBREVIATION (groups),Average of recovery_time, Sum of team_losses ,Count of SEASON_ID, Avg Cost per Season , Average of salaries INF ,Avg Cost per Seasons
DeSagana Diop,"Hand, Thumb & Fingers area",CLE,12," $235,905.70 ",1," $235,905.70 "," $3,224,044.00 "," $235,905.70 "
Trevor Ariza,Thoracolumbar area,HOU,3," $235,779.50 ",1," $235,779.50 "," $10,256,410.00 "," $235,779.50 "
Metta World Peace,Rest,LAL,1," $235,620.20 ",1," $235,620.20 "," $9,189,189.00 "," $235,620.20 "
Metta World Peace,Unclassified,LAL,2," $235,620.20 ",1," $235,620.20 "," $9,189,189.00 "," $235,620.20 "
Gerald Green,Ankle area,IND,15," $235,360.00 ",1," $235,360.00 "," $2,891,566.00 "," $235,360.00 "
Kenny Anderson,Thigh area,IND,35," $235,169.20 ",1," $235,169.20 "," $1,489,404.90 "," $235,169.20 "
Ike Anigbogu,Knee area,IND,0.5," $939,605.50 ",2," $469,802.70 "," $1,604,613.00 "," $234,901.35 "
Markieff Morris,Neck,WAS,75," $234,892.70 ",1," $234,892.70 "," $583,672.70 "," $234,892.70 "
Robert Pack,Foot area,DEN,5," $234,755.00 ",1," $234,755.00 "," $6,416,635.70 "," $234,755.00 "
Marcin Gortat,Unclassified,ORL,2," $234,741.80 ",1," $234,741.80 "," $11,267,606.00 "," $234,741.80 "
Kelvin Cato,Foot area,HOU,3," $234,720.70 ",1," $234,720.70 "," $10,210,352.20 "," $234,720.70 "
Kevin Martin,Ankle area,MIN,1," $234,521.60 ",1," $234,521.60 "," $9,615,385.00 "," $234,521.60 "
C.J. Watson,Ankle area,ORL,5," $234,521.60 ",1," $234,521.60 "," $6,410,256.00 "," $234,521.60 "
Gary Neal,Shoulder area,CHA & CHH,9," $234,521.60 ",1," $234,521.60 "," $3,846,154.00 "," $234,521.60 "
Paul Pierce,Ankle area,LAC,16.5," $938,045.00 ",2," $469,022.50 "," $4,940,901.00 "," $234,511.25 "
Stephen Jackson,Knee area,BKN & NJN,92," $234,451.20 ",1," $234,451.20 "," $556,140.00 "," $234,451.20 "
Devin Vassell,Heel area,SAS,2," $234,310.80 ",1," $234,310.80 "," $4,803,371.00 "," $234,310.80 "
Tony Bobbitt,Ankle area,LAL,3," $234,278.20 ",1," $234,278.20 "," $492,585.00 "," $234,278.20 "
Mickael Pietrus,Abdominal area,GSW,111.5," $936,379.10 ",2," $468,189.60 "," $3,979,779.50 "," $234,094.80 "
Zaza Pachulia,Heel area,ATL,46.2," $2,106,310.50 ",3," $702,103.50 "," $6,283,783.80 "," $234,034.50 "
Brent Barry,Ankle area,SAS,4," $233,957.20 ",1," $233,957.20 "," $7,720,588.00 "," $233,957.20 "
Alexis Ajinca,Hip area,NOH & NOK & NOP,4," $233,868.50 ",1," $233,868.50 "," $6,392,405.00 "," $233,868.50 "
Rajon Rondo,Unclassified,LAL,13," $934,420.90 ",2," $467,210.50 "," $5,807,666.50 "," $233,605.25 "
Trevor Ariza,Hip area,HOU,7," $233,596.70 ",1," $233,596.70 "," $9,577,465.00 "," $233,596.70 "
Anthony Roberson,Toes area,GSW,-1," $233,177.30 ",1," $233,177.30 "," $338,835.80 "," $233,177.30 "
Chauncey Billups,Ankle area,MIN,10," $233,162.60 ",1," $233,162.60 "," $3,341,997.80 "," $233,162.60 "
Nick Collison,Thoracolumbar area,OKC & SEA,2," $233,142.00 ",1," $233,142.00 "," $9,558,824.00 "," $233,142.00 "
Jamal Sampson,Ankle area,LAL,86.5," $932,487.80 ",2," $466,243.90 "," $941,095.40 "," $233,121.95 "
Kris Humphries,Knee area,TOR,12," $232,981.50 ",1," $232,981.50 "," $2,388,060.00 "," $232,981.50 "
Robert Williams III,Knee area,BOS,5.8," $2,094,019.30 ",3," $698,006.40 "," $11,434,702.60 "," $232,668.80 "
Alex Caruso,Foot area,CHI,2," $232,587.40 ",1," $232,587.40 "," $9,536,082.00 "," $232,587.40 "
Ryan Kelly,Unclassified,LAL,9.33," $930,268.80 ",2," $465,134.40 "," $2,179,487.00 "," $232,567.20 "
CJ Miles,Calf area,IND,14," $929,654.10 ",2," $464,827.10 "," $5,769,231.00 "," $232,413.55 "
Jae'Sean Tate,Knee area,HOU,0," $929,080.00 ",2," $464,540.00 "," $4,490,600.50 "," $232,270.00 "
Adrian Griffin,Thoracolumbar area,DAL,83.86," $2,090,366.70 ",3," $696,788.90 "," $1,131,794.00 "," $232,262.97 "
Kelvin Cato,"Hand, Thumb & Fingers area",HOU,3," $232,212.10 ",1," $232,212.10 "," $9,520,695.00 "," $232,212.10 "
Jonathan Isaac,Ankle area,ORL,58.5," $2,089,525.50 ",3," $696,508.50 "," $6,608,152.00 "," $232,169.50 "
Sonny Weems,Thoracolumbar area,TOR,38," $232,109.10 ",1," $232,109.10 "," $1,001,734.10 "," $232,109.10 "
Andray Blatche,Hip area,BKN & NJN,5," $232,108.30 ",1," $232,108.30 "," $7,272,727.00 "," $232,108.30 "
Juwan Howard,Knee area,ORL,1," $232,100.70 ",1," $232,100.70 "," $9,516,129.00 "," $232,100.70 "
Goran Dragic,Elbow area,MIA,4," $927,651.00 ",2," $463,825.50 "," $11,251,758.00 "," $231,912.75 "
Zach Randolph,Ankle area,MEM & VAN,5.33," $2,087,178.30 ",3," $695,726.10 "," $18,963,058.70 "," $231,908.70 "
Eric Gordon,Foot area,LAC,8," $231,879.10 ",1," $231,879.10 "," $3,802,817.00 "," $231,879.10 "
Francisco Elson,Thigh area,MIL,16," $231,879.10 ",1," $231,879.10 "," $2,112,676.00 "," $231,879.10 "
Matt Barnes,Knee area,GSW,49," $927,141.90 ",2," $463,570.90 "," $1,305,196.60 "," $231,785.45 "
Taj Gibson,Ankle area,CHI,42.43," $10,170,583.10 ",4," $2,542,645.80 "," $8,733,973.10 "," $635,661.45 "
Derrick Williams,Thoracolumbar area,MIA,5," $231,553.00 ",1," $231,553.00 "," $6,329,114.00 "," $231,553.00 "
Ronnie Price,Foot area,PHX,9," $231,553.00 ",1," $231,553.00 "," $3,164,557.00 "," $231,553.00 "
Rondae Hollis-Jefferson,Thigh area,BKN & NJN,14," $231,271.30 ",1," $231,271.30 "," $2,515,075.00 "," $231,271.30 "
Sean May,Thoracolumbar area,CHA & CHH,10," $231,243.40 ",1," $231,243.40 "," $3,160,327.10 "," $231,243.40 "
Wilson Chandler,Unclassified,PHI,2.5," $924,569.10 ",2," $462,284.50 "," $8,475,330.00 "," $231,142.25 "
Raul Neto,Wrist area,UTA,29," $231,009.00 ",1," $231,009.00 "," $1,534,559.80 "," $231,009.00 "
Trenton Hassell,Ankle area,MIN,10," $924,019.40 ",2," $462,009.70 "," $6,873,834.00 "," $231,004.85 "
Anthony Davis,Knee area,NOH & NOK & NOP,159.75," $10,066,662.00 ",4," $2,516,665.50 "," $29,182,572.80 "," $629,166.38 "
Tony Parker,Thoracolumbar area,SAS,4.25," $2,075,679.10 ",3," $691,893.00 "," $16,713,555.60 "," $230,631.00 "
Jamaal Tinsley,Foot area,IND,6," $921,806.10 ",2," $460,903.10 "," $10,351,468.50 "," $230,451.55 "
Hassan Whiteside,Cranial area,SAC,11," $230,200.00 ",1," $230,200.00 "," $2,696,629.00 "," $230,200.00 "
Robert Horry,Knee area,SAS,16.5," $920,286.20 ",2," $460,143.10 "," $6,472,428.50 "," $230,071.55 "
Shawn Marion,Hip area,CLE,12," $230,026.00 ",1," $230,026.00 "," $1,564,176.50 "," $230,026.00 "
Tony Allen,Knee area,MEM & VAN,7," $2,069,995.60 ",3," $689,998.50 "," $5,706,364.60 "," $229,999.50 "
Paul Pierce,Knee area,WAS,3," $229,933.10 ",1," $229,933.10 "," $7,051,282.00 "," $229,933.10 "
Derrick Rose,Ankle area,CHI,14.2," $9,614,241.60 ",4," $2,403,560.40 "," $24,085,135.10 "," $600,890.10 "
Ruben Patterson,Heel area,POR,4," $229,885.10 ",1," $229,885.10 "," $9,770,115.00 "," $229,885.10 "
Elfrid Payton,Elbow area,ORL,9," $229,831.20 ",1," $229,831.20 "," $3,141,026.00 "," $229,831.20 "
Royce O'Neale,"Hand, Thumb & Fingers area",UTA,2," $229,826.40 ",1," $229,826.40 "," $10,112,360.00 "," $229,826.40 "
Jimmy Butler,Calf area,CHI,2," $229,758.90 ",1," $229,758.90 "," $10,798,669.60 "," $229,758.90 "
Jimmy Butler,Shoulder area,CHI,8," $229,758.90 ",1," $229,758.90 "," $10,798,669.60 "," $229,758.90 "
Pau Gasol,"Hand, Thumb & Fingers area",CHI,1," $229,310.00 ",1," $229,310.00 "," $9,401,709.00 "," $229,310.00 "
Marko Jaric,Ankle area,MEM & VAN,3," $229,016.40 ",1," $229,016.40 "," $9,389,671.00 "," $229,016.40 "
Stephen Jackson,"Hand, Thumb & Fingers area",GSW,2," $229,016.40 ",1," $229,016.40 "," $9,389,671.00 "," $229,016.40 "
Stephen Jackson,Unclassified,GSW,2," $229,016.40 ",1," $229,016.40 "," $9,389,671.00 "," $229,016.40 "
Stephen Jackson,Wrist area,GSW,2," $229,016.40 ",1," $229,016.40 "," $9,389,671.00 "," $229,016.40 "
Tyrone Hill,Unclassified,CLE,4," $228,882.90 ",1," $228,882.90 "," $9,384,197.60 "," $228,882.90 "
Kevin Ollie,Ankle area,PHI,7," $228,658.50 ",1," $228,658.50 "," $4,687,500.00 "," $228,658.50 "
Vitaly Potapenko,Thoracolumbar area,OKC & SEA,1.5," $228,658.50 ",1," $228,658.50 "," $4,687,500.00 "," $228,658.50 "
Chris Kaman,Thoracolumbar area,LAL,9.67," $914,613.80 ",2," $457,306.90 "," $4,864,579.70 "," $228,653.45 "
Dwight Powell,Thigh area,DAL,4.5," $914,305.90 ",2," $457,152.90 "," $12,532,096.00 "," $228,576.45 "
Kedrick Brown,Unclassified,BOS,16," $228,536.70 ",1," $228,536.70 "," $2,336,153.30 "," $228,536.70 "
Trendon Watford,Hip area,POR,17," $228,531.00 ",1," $228,531.00 "," $2,082,171.00 "," $228,531.00 "
Kwame Brown,Ankle area,DET,28.5," $228,490.60 ",1," $228,490.60 "," $1,441,248.20 "," $228,490.60 "
Kenny Thomas,"Hand, Thumb & Fingers area",PHI,4," $228,480.00 ",1," $228,480.00 "," $9,367,681.00 "," $228,480.00 "
Maceo Baston,Thoracolumbar area,IND,6.5," $228,443.80 ",1," $228,443.80 "," $2,676,056.00 "," $228,443.80 "
Mike Bibby,Thoracolumbar area,NYK,3," $228,397.40 ",1," $228,397.40 "," $8,108,108.00 "," $228,397.40 "
Dwyane Wade,Foot area,MIA,5," $2,055,082.10 ",3," $685,027.40 "," $14,268,972.80 "," $228,342.47 "
Jae Crowder,Ankle area,MEM & VAN,2," $228,310.50 ",1," $228,310.50 "," $8,333,333.00 "," $228,310.50 "
Jae Crowder,Hip area,MEM & VAN,3," $228,310.50 ",1," $228,310.50 "," $8,333,333.00 "," $228,310.50 "
Matt Bullard,Thoracolumbar area,HOU,10," $228,234.00 ",1," $228,234.00 "," $3,119,197.90 "," $228,234.00 "
Matisse Thybulle,Unclassified,PHI,5.8," $912,711.40 ",2," $456,355.70 "," $4,248,644.80 "," $228,177.85 "
Isaiah Thomas,Calf area,WAS,11," $228,174.60 ",1," $228,174.60 "," $2,738,095.00 "," $228,174.60 "
Michael Dickerson,Hip area,MEM & VAN,6," $228,132.90 ",1," $228,132.90 "," $6,235,632.00 "," $228,132.90 "
Mateen Cleaves,Ankle area,SAC,142," $227,965.20 ",1," $227,965.20 "," $1,861,715.60 "," $227,965.20 "
Marcus Thornton,Thoracolumbar area,BKN & NJN,2," $227,963.50 ",1," $227,963.50 "," $10,714,286.00 "," $227,963.50 "
Speedy Claxton,Thoracolumbar area,ATL,4," $227,520.90 ",1," $227,520.90 "," $9,328,358.00 "," $227,520.90 "
Antoine Wright,Ankle area,BKN & NJN,5," $227,501.70 ",1," $227,501.70 "," $2,072,793.20 "," $227,501.70 "
Patty Mills,Unclassified,BKN & NJN,5," $227,463.50 ",1," $227,463.50 "," $6,520,619.00 "," $227,463.50 "
Obinna Ekezie,Ankle area,WAS,20," $227,432.80 ",1," $227,432.80 "," $932,474.40 "," $227,432.80 "
John Amaechi,Neck,UTA,7," $227,287.50 ",1," $227,287.50 "," $3,954,802.00 "," $227,287.50 "
Daniel Gafford,Ankle area,CHI,113," $909,107.40 ",2," $454,553.70 "," $1,804,797.00 "," $227,276.85 "
AJ Price,"Hand, Thumb & Fingers area",WAS,27," $227,245.30 ",1," $227,245.30 "," $1,164,632.00 "," $227,245.30 "
Luther Head,Calf area,SAC,-1," $227,097.40 ",1," $227,097.40 "," $1,163,874.30 "," $227,097.40 "
Rashad McCants,Unclassified,MIN,7.17," $907,285.60 ",2," $453,642.80 "," $2,646,885.80 "," $226,821.40 "
DeShawn Stevenson,Knee area,ATL,2.25," $226,794.40 ",1," $226,794.40 "," $2,494,738.70 "," $226,794.40 "
DeShawn Stevenson,Unclassified,ATL,1.75," $226,794.40 ",1," $226,794.40 "," $2,494,738.70 "," $226,794.40 "
John Wallace,Knee area,MIA,5," $906,161.50 ",2," $453,080.70 "," $1,131,256.70 "," $226,540.35 "
Jamaal Tinsley,Wrist area,IND,3," $226,372.40 ",1," $226,372.40 "," $10,752,688.00 "," $226,372.40 "
Linas Kleiza,Hip area,TOR,4," $226,251.60 ",1," $226,251.60 "," $6,184,211.00 "," $226,251.60 "
Larry Hughes,Knee area,WAS,4.33," $904,892.30 ",2," $452,446.20 "," $8,214,319.00 "," $226,223.10 "
Avery Bradley,"Hand, Thumb & Fingers area",LAL,7," $225,968.50 ",1," $225,968.50 "," $6,176,471.00 "," $225,968.50 "
Cody Martin,Ankle area,CHA & CHH,114," $903,679.00 ",2," $451,839.50 "," $1,725,049.50 "," $225,919.75 "
Raja Bell,Calf area,UTA,12," $225,835.60 ",1," $225,835.60 "," $4,629,630.00 "," $225,835.60 "
Dalibor Bagaric,Thoracolumbar area,CHI,30," $225,822.00 ",1," $225,822.00 "," $1,234,493.70 "," $225,822.00 "
Andrew Bogut,Thigh area,MIL,7," $225,232.90 ",1," $225,232.90 "," $6,156,366.00 "," $225,232.90 "
Avery Bradley,Foot area,LAL,3," $225,155.30 ",1," $225,155.30 "," $10,357,143.00 "," $225,155.30 "
PJ Hairston,Knee area,CHA & CHH,216," $225,140.80 ",1," $225,140.80 "," $1,538,462.00 "," $225,140.80 "
Etan Thomas,Hip area,WAS,3," $224,905.30 ",1," $224,905.30 "," $9,895,833.00 "," $224,905.30 "
Patrick Beverley,Knee area,HOU,21.33," $9,426,059.10 ",4," $2,356,514.80 "," $10,117,729.30 "," $589,128.70 "
Mickael Pietrus,Cranial area,BOS,17," $224,701.50 ",1," $224,701.50 "," $1,756,757.00 "," $224,701.50 "
Adonal Foyle,"Hand, Thumb & Fingers area",GSW,2," $224,683.00 ",1," $224,683.00 "," $10,447,761.00 "," $224,683.00 "
Charlie Villanueva,Thigh area,DET,2," $224,647.00 ",1," $224,647.00 "," $9,210,526.00 "," $224,647.00 "
James Harden,Unclassified,HOU,3," $2,021,080.00 ",3," $673,693.30 "," $30,933,193.70 "," $224,564.43 "
Markieff Morris,Hip area,WAS,2," $224,466.90 ",1," $224,466.90 "," $9,876,543.00 "," $224,466.90 "
Jason Smith,Shoulder area,WAS,5," $224,466.90 ",1," $224,466.90 "," $6,584,362.00 "," $224,466.90 "
Troy Murphy,Foot area,GSW,18.33," $897,765.70 ",2," $448,882.80 "," $5,033,587.10 "," $224,441.40 "
Leandro Barbosa,Ankle area,IND,3," $224,356.80 ",1," $224,356.80 "," $8,637,737.80 "," $224,356.80 "
Marc Gasol,Abdominal area,MEM & VAN,3," $897,263.50 ",2," $448,631.80 "," $17,115,416.00 "," $224,315.90 "
Meyers Leonard,Ankle area,POR,78.6," $9,221,760.70 ",4," $2,305,440.20 "," $8,652,580.60 "," $576,360.05 "
Jake Voskuhl,Unclassified,MIL,10," $224,175.10 ",1," $224,175.10 "," $3,676,471.00 "," $224,175.10 "
Kenyon Martin,Rest,DEN,3.5," $896,563.10 ",2," $448,281.60 "," $19,500,248.00 "," $224,140.80 "
Will Bynum,Abdominal area,DET,8," $224,051.50 ",1," $224,051.50 "," $3,062,037.60 "," $224,051.50 "
Killian Hayes,"Hand, Thumb & Fingers area",DET,3," $224,034.00 ",1," $224,034.00 "," $6,123,596.00 "," $224,034.00 "
Killian Hayes,Hip area,DET,4," $224,034.00 ",1," $224,034.00 "," $6,123,596.00 "," $224,034.00 "
Samaki Walker,Shoulder area,MIA,16," $223,911.20 ",1," $223,911.20 "," $2,363,507.40 "," $223,911.20 "
Vlatko Cancar,Foot area,DEN,49," $895,619.00 ",2," $447,809.50 "," $1,954,902.00 "," $223,904.75 "
Maxi Kleber,Thoracolumbar area,DAL,6," $895,140.80 ",2," $447,570.40 "," $10,427,608.00 "," $223,785.20 "
Troy Hudson,Unclassified,MIN,14.5," $895,112.30 ",2," $447,556.10 "," $4,676,011.00 "," $223,778.05 "
Keyon Dooling,Ankle area,LAC,84.25," $2,013,083.60 ",3," $671,027.90 "," $2,556,239.30 "," $223,675.97 "
Frank Ntilikina,Thoracolumbar area,NYK,3," $223,665.20 ",1," $223,665.20 "," $7,380,952.00 "," $223,665.20 "
Skal Labissiere,Ankle area,SAC,209," $223,577.30 ",1," $223,577.30 "," $1,666,667.00 "," $223,577.30 "
Marcin Gortat,Thoracolumbar area,WAS,1," $223,432.50 ",1," $223,432.50 "," $10,389,610.00 "," $223,432.50 "
Luka Doncic,"Hand, Thumb & Fingers area",DAL,1," $223,398.00 ",1," $223,398.00 "," $9,047,619.00 "," $223,398.00 "
Will Barton,Ankle area,DEN,4," $893,322.10 ",2," $446,661.10 "," $10,171,680.50 "," $223,330.55 "
Earl Watson,Neck,OKC & SEA,1," $223,323.20 ",1," $223,323.20 "," $9,156,250.00 "," $223,323.20 "
Peja Stojakovic,Knee area,SAC,4," $223,230.80 ",1," $223,230.80 "," $9,822,153.50 "," $223,230.80 "
Aaron Brooks,Thigh area,HOU,16," $223,153.30 ",1," $223,153.30 "," $2,157,148.30 "," $223,153.30 "
Thabo Sefolosha,Ankle area,ATL,1," $222,965.40 ",1," $222,965.40 "," $5,128,205.00 "," $222,965.40 "
Joe Smith,Abdominal area,MIL,2," $222,921.60 ",1," $222,921.60 "," $9,139,785.00 "," $222,921.60 "
Luc Mbah a Moute,Calf area,PHI,6," $222,795.50 ",1," $222,795.50 "," $6,089,744.00 "," $222,795.50 "
Luc Mbah a Moute,Knee area,PHI,4," $222,795.50 ",1," $222,795.50 "," $6,089,744.00 "," $222,795.50 "
Luc Mbah a Moute,Toes area,PHI,4," $222,795.50 ",1," $222,795.50 "," $6,089,744.00 "," $222,795.50 "
Aaron McKie,"Hand, Thumb & Fingers area",PHI,2," $222,469.40 ",1," $222,469.40 "," $9,677,419.00 "," $222,469.40 "
Zaza Pachulia,Unclassified,GSW,17," $222,428.20 ",1," $222,428.20 "," $2,891,566.00 "," $222,428.20 "
Tyson Chandler,Thoracolumbar area,LAL,2," $221,863.10 ",1," $221,863.10 "," $9,096,386.00 "," $221,863.10 "
Tyson Chandler,Toes area,LAL,9," $221,863.10 ",1," $221,863.10 "," $9,096,386.00 "," $221,863.10 "
Nicolas Batum,Thoracolumbar area,POR,3," $887,000.20 ",2," $443,500.10 "," $15,099,949.50 "," $221,750.05 "
Torrey Craig,Abdominal area,PHX,5," $221,704.90 ",1," $221,704.90 "," $5,154,639.00 "," $221,704.90 "
Festus Ezeli,Ankle area,GSW,40," $221,684.30 ",1," $221,684.30 "," $1,201,762.30 "," $221,684.30 "
Jaxson Hayes,Elbow area,NOH & NOK & NOP,4," $221,664.30 ",1," $221,664.30 "," $6,058,824.00 "," $221,664.30 "
Nenad Krstic,Thoracolumbar area,OKC & SEA,3," $221,661.10 ",1," $221,661.10 "," $7,314,815.00 "," $221,661.10 "
Aaron Gordon,Cranial area,ORL,7.67," $886,494.50 ",2," $443,247.20 "," $5,579,314.90 "," $221,623.60 "
Larry Hughes,Unclassified,CHI,2," $221,554.00 ",1," $221,554.00 "," $9,859,155.00 "," $221,554.00 "
Carlos Delfino,Unclassified,HOU,3," $221,434.40 ",1," $221,434.40 "," $3,897,246.30 "," $221,434.40 "
Darius Garland,Abdominal area,CLE,2," $221,405.20 ",1," $221,405.20 "," $7,970,588.00 "," $221,405.20 "
D.J. Augustin,Knee area,ORL,3," $221,306.50 ",1," $221,306.50 "," $8,630,952.00 "," $221,306.50 "
Jason Terry,Thigh area,DAL,4," $885,014.50 ",2," $442,507.20 "," $12,278,294.00 "," $221,253.60 "
Kevin Durant,Shoulder area,OKC & SEA,1," $221,165.00 ",1," $221,165.00 "," $11,168,831.00 "," $221,165.00 "
Thabo Sefolosha,Unclassified,HOU,11," $221,088.40 ",1," $221,088.40 "," $3,095,238.00 "," $221,088.40 "
Deron Williams,Knee area,DAL,3," $221,043.30 ",1," $221,043.30 "," $9,615,385.00 "," $221,043.30 "
Deron Williams,Rest,DAL,2," $221,043.30 ",1," $221,043.30 "," $9,615,385.00 "," $221,043.30 "
Deron Williams,Thoracolumbar area,DAL,2," $221,043.30 ",1," $221,043.30 "," $9,615,385.00 "," $221,043.30 "
Darrell Armstrong,Ankle area,NOH & NOK & NOP,8," $221,035.20 ",1," $221,035.20 "," $4,918,033.00 "," $221,035.20 "
Al Thornton,Hip area,WAS,12," $220,923.00 ",1," $220,923.00 "," $2,264,461.20 "," $220,923.00 "
Dewayne Dedmon,Foot area,MIA,3.5," $220,913.10 ",1," $220,913.10 "," $4,639,175.00 "," $220,913.10 "
Toni Kukoc,Thoracolumbar area,ATL,5.5," $883,172.30 ",2," $441,586.10 "," $10,166,514.90 "," $220,793.05 "
Al-Farouq Aminu,Rest,POR,4," $220,783.00 ",1," $220,783.00 "," $9,493,671.00 "," $220,783.00 "
Al-Farouq Aminu,Thoracolumbar area,POR,2," $220,783.00 ",1," $220,783.00 "," $9,493,671.00 "," $220,783.00 "
Juancho Hernangomez,Thigh area,MIN,2," $220,588.20 ",1," $220,588.20 "," $7,941,176.00 "," $220,588.20 "
Ty Lawson,Shoulder area,DEN,14," $882,261.40 ",2," $441,130.70 "," $8,848,546.00 "," $220,565.35 "
Shane Larkin,Knee area,BOS,15," $220,362.10 ",1," $220,362.10 "," $1,589,755.20 "," $220,362.10 "
Malik Monk,Foot area,SAC,2," $220,085.70 ",1," $220,085.70 "," $9,793,814.00 "," $220,085.70 "
Trevor Ariza,Abdominal area,NOH & NOK & NOP,4," $878,890.20 ",2," $439,445.10 "," $9,316,816.50 "," $219,722.55 "
Nerlens Noel,Ankle area,PHI,55.75," $878,219.40 ",2," $439,109.70 "," $4,386,364.00 "," $219,554.85 "
Vonteego Cummings,Other facial areas,GSW,28," $219,452.40 ",1," $219,452.40 "," $1,124,693.70 "," $219,452.40 "
Isaiah Stewart,Hip area,DET,9," $219,238.20 ",1," $219,238.20 "," $3,595,506.00 "," $219,238.20 "
Dylan Windler,Hip area,CLE,6," $219,238.10 ",1," $219,238.10 "," $4,494,382.00 "," $219,238.10 "
Taj Gibson,Rest,OKC & SEA,1," $219,152.70 ",1," $219,152.70 "," $9,533,142.30 "," $219,152.70 "
Perry Jones III,Knee area,OKC & SEA,25," $219,030.80 ",1," $219,030.80 "," $1,381,579.00 "," $219,030.80 "
Channing Frye,Unclassified,ORL,3," $218,886.80 ",1," $218,886.80 "," $8,974,359.00 "," $218,886.80 "
Gigi Datome,Thigh area,DET,12," $218,886.80 ",1," $218,886.80 "," $2,243,590.00 "," $218,886.80 "
DeMarre Carroll,Thigh area,ATL,5," $218,882.20 ",1," $218,882.20 "," $3,246,753.00 "," $218,882.20 "
Wayne Ellington,Thigh area,DAL,10," $218,882.20 ",1," $218,882.20 "," $3,246,753.00 "," $218,882.20 "
Michael Beasley,Foot area,MIA,22," $218,789.90 ",1," $218,789.90 "," $1,495,064.10 "," $218,789.90 "
Joakim Noah,Knee area,CHI,51.2," $9,137,077.30 ",4," $2,284,269.30 "," $16,718,269.90 "," $571,067.33 "
Matt Barnes,Thigh area,MEM & VAN,3," $218,644.40 ",1," $218,644.40 "," $4,700,855.00 "," $218,644.40 "
Michael Beasley,Thigh area,MIA,4," $218,552.70 ",1," $218,552.70 "," $6,338,028.00 "," $218,552.70 "
Brandon Paul,Unclassified,SAS,6," $218,532.70 ",1," $218,532.70 "," $2,716,049.00 "," $218,532.70 "
Pablo Prigioni,Unclassified,LAC,7," $218,531.50 ",1," $218,531.50 "," $1,923,077.00 "," $218,531.50 "
Malik Rose,Thigh area,NYK,2," $218,420.10 ",1," $218,420.10 "," $8,955,224.00 "," $218,420.10 "
Tim Thomas,Elbow area,LAC,2," $218,420.10 ",1," $218,420.10 "," $8,955,224.00 "," $218,420.10 "
Tim Thomas,Wrist area,LAC,1," $218,420.10 ",1," $218,420.10 "," $8,955,224.00 "," $218,420.10 "
Zaza Pachulia,Foot area,ATL,201," $218,420.10 ",1," $218,420.10 "," $5,970,149.00 "," $218,420.10 "
Josh Smith,Thoracolumbar area,ATL,20," $218,420.10 ",1," $218,420.10 "," $1,990,050.00 "," $218,420.10 "
Joe Smith,Knee area,MIN,4," $218,284.50 ",1," $218,284.50 "," $9,604,520.00 "," $218,284.50 "
Sam Cassell,"Hand, Thumb & Fingers area",MIL,3," $218,284.50 ",1," $218,284.50 "," $9,604,520.00 "," $218,284.50 "
Kyrylo Fesenko,Unclassified,IND,-1," $218,254.00 ",1," $218,254.00 "," $1,527,778.00 "," $218,254.00 "
Thabo Sefolosha,Thigh area,UTA,4," $218,113.80 ",1," $218,113.80 "," $6,325,301.00 "," $218,113.80 "
Paul George,Rest,IND,2.5," $872,432.00 ",2," $436,216.00 "," $20,646,021.00 "," $218,108.00 "
James Young,Ankle area,BOS,21," $217,948.70 ",1," $217,948.70 "," $2,179,487.00 "," $217,948.70 "
Mike James,Thoracolumbar area,TOR,2.5," $217,844.20 ",1," $217,844.20 "," $4,465,805.80 "," $217,844.20 "
Wayne Selden,Knee area,MEM & VAN,67.75," $871,126.60 ",2," $435,563.30 "," $1,779,339.30 "," $217,781.65 "
George Hill,Cranial area,UTA,2," $217,776.00 ",1," $217,776.00 "," $10,126,582.00 "," $217,776.00 "
Rui Hachimura,Shoulder area,WAS,4," $217,723.40 ",1," $217,723.40 "," $5,588,235.00 "," $217,723.40 "
Caron Butler,Thigh area,MIA,14," $217,428.80 ",1," $217,428.80 "," $2,950,820.00 "," $217,428.80 "
Drew Gooden,Knee area,MIL,8.5," $869,482.80 ",2," $434,741.40 "," $8,547,008.50 "," $217,370.70 "
Toni Kukoc,Unclassified,ATL,2," $217,365.70 ",1," $217,365.70 "," $8,911,994.10 "," $217,365.70 "
Brad Miller,Knee area,CHI,4," $217,365.70 ",1," $217,365.70 "," $5,941,329.40 "," $217,365.70 "
Terry Davis,Calf area,DEN,22," $217,340.50 ",1," $217,340.50 "," $1,620,175.00 "," $217,340.50 "
Wesley Johnson,Foot area,LAL,220," $217,148.50 ",1," $217,148.50 "," $1,187,078.70 "," $217,148.50 "
Al Harrington,Heel area,DEN,2," $217,113.70 ",1," $217,113.70 "," $4,722,222.00 "," $217,113.70 "
Christian Laettner,Unclassified,WAS,2," $217,031.80 ",1," $217,031.80 "," $8,898,305.00 "," $217,031.80 "
Trae Young,Knee area,ATL,2," $216,993.50 ",1," $216,993.50 "," $9,764,706.00 "," $216,993.50 "
Tyronn Lue,Hip area,ORL,5," $216,913.30 ",1," $216,913.30 "," $2,540,984.00 "," $216,913.30 "
Patrick Baldwin Jr.,Toes area,GSW,-1," $216,494.80 ",1," $216,494.80 "," $2,938,144.00 "," $216,494.80 "
