PLAYER_NAME,Anatomical sub-areas,TEAM_ABBREVIATION (groups),Average of recovery_time, Sum of team_losses ,Count of SEASON_ID, Avg Cost per Season , Average of salaries INF ,Avg Cost per Seasons
Kelly Oubre Jr.,Wrist area,GSW,256," $12,009,804.00 ",1," $12,009,804.00 "," $17,647,059.00 "," $12,009,804.00 "
Dante Exum,Calf area,UTA,-1," $12,005,669.30 ",1," $12,005,669.30 "," $12,941,176.00 "," $12,005,669.30 "
Courtney Lee,Hip area,NYK,440," $11,989,420.80 ",1," $11,989,420.80 "," $14,457,831.00 "," $11,989,420.80 "
Nick Van Exel,Knee area,GSW,63.6," $11,960,651.10 ",1," $11,960,651.10 "," $16,623,277.80 "," $11,960,651.10 "
DeMarre Carroll,Knee area,ATL,41," $11,914,715.60 ",1," $11,914,715.60 "," $19,230,769.00 "," $11,914,715.60 "
Richard Jefferson,Wrist area,BKN & NJN,103," $11,877,969.80 ",1," $11,877,969.80 "," $20,430,108.00 "," $11,877,969.80 "
Domantas Sabonis,Knee area,IND,280," $11,869,690.10 ",1," $11,869,690.10 "," $21,629,213.00 "," $11,869,690.10 "
Jerry Stackhouse,Foot area,DAL,189," $11,826,392.80 ",1," $11,826,392.80 "," $10,563,380.00 "," $11,826,392.80 "
Stephon Marbury,Shoulder area,BKN & NJN,37," $11,811,155.90 ",1," $11,811,155.90 "," $29,687,500.00 "," $11,811,155.90 "
Glen Rice,Unclassified,WAS,-1," $11,801,339.40 ",1," $11,801,339.40 "," $13,081,002.70 "," $11,801,339.40 "
Julius Randle,Unclassified,NOH & NOK & NOP,82," $11,798,710.50 ",1," $11,798,710.50 "," $28,061,798.00 "," $11,798,710.50 "
Spencer Dinwiddie,Unclassified,BKN & NJN,50," $11,758,557.60 ",1," $11,758,557.60 "," $20,224,719.00 "," $11,758,557.60 "
Tyus Jones,"Hand, Thumb & Fingers area",MIN,196," $11,573,033.20 ",1," $11,573,033.20 "," $9,887,640.00 "," $11,573,033.20 "
Gilbert Arenas,Other facial areas,WAS,133," $11,532,141.20 ",1," $11,532,141.20 "," $15,612,745.00 "," $11,532,141.20 "
LeBron James,Other facial areas,CLE,277," $11,409,667.30 ",1," $11,409,667.30 "," $17,114,501.00 "," $11,409,667.30 "
Jerami Grant,"Hand, Thumb & Fingers area",DEN,94," $11,365,103.90 ",1," $11,365,103.90 "," $22,471,910.00 "," $11,365,103.90 "
John Wall,Heel area,WAS,157," $101,376,470.70 ",3," $33,792,156.90 "," $50,600,975.20 "," $11,264,052.30 "
Andre Iguodala,Thigh area,DEN,115," $11,234,293.90 ",1," $11,234,293.90 "," $16,450,216.00 "," $11,234,293.90 "
Andrew Bynum,Unclassified,LAL,125," $11,213,177.40 ",1," $11,213,177.40 "," $15,584,416.00 "," $11,213,177.40 "
Antoine Walker,Unclassified,BOS,337," $11,093,921.00 ",1," $11,093,921.00 "," $13,184,080.00 "," $11,093,921.00 "
George Hill,"Hand, Thumb & Fingers area",MIL,293," $11,056,347.10 ",1," $11,056,347.10 "," $11,294,118.00 "," $11,056,347.10 "
Myles Turner,Foot area,IND,276," $10,961,907.30 ",1," $10,961,907.30 "," $22,471,910.00 "," $10,961,907.30 "
Jabari Parker,Knee area,CHI,134.5," $10,872,759.50 ",1," $10,872,759.50 "," $24,096,386.00 "," $10,872,759.50 "
Avery Bradley,Ankle area,DET,135," $10,857,383.00 ",1," $10,857,383.00 "," $15,060,241.00 "," $10,857,383.00 "
Dwyane Wade,Wrist area,CLE,254," $10,794,555.40 ",1," $10,794,555.40 "," $20,411,523.00 "," $10,794,555.40 "
Chris Bosh,Other facial areas,TOR,287," $10,778,396.60 ",1," $10,778,396.60 "," $18,804,862.10 "," $10,778,396.60 "
Jalen Rose,"Hand, Thumb & Fingers area",IND,288," $10,738,576.90 ",1," $10,738,576.90 "," $18,462,816.50 "," $10,738,576.90 "
Dion Waiters,Unclassified,MIA,69.5," $10,701,620.70 ",1," $10,701,620.70 "," $15,476,190.00 "," $10,701,620.70 "
Carlos Boozer,"Hand, Thumb & Fingers area",UTA,53," $10,670,731.50 ",1," $10,670,731.50 "," $20,833,333.00 "," $10,670,731.50 "
Greg Monroe,Calf area,MIL,94," $10,548,851.20 ",1," $10,548,851.20 "," $21,337,449.00 "," $10,548,851.20 "
Zach Randolph,Knee area,POR,68.4," $41,994,492.40 ",2," $20,997,246.20 "," $22,368,951.50 "," $10,498,623.10 "
Allen Iverson,Thoracolumbar area,PHI,54," $10,470,513.30 ",1," $10,470,513.30 "," $28,619,403.00 "," $10,470,513.30 "
Alec Burks,Foot area,NYK,67," $10,420,130.50 ",1," $10,420,130.50 "," $10,309,278.00 "," $10,420,130.50 "
Jeff Green,"Hand, Thumb & Fingers area",OKC & SEA,337," $10,415,327.50 ",1," $10,415,327.50 "," $11,688,312.00 "," $10,415,327.50 "
Chris Webber,Knee area,DET,-1," $10,415,075.20 ",1," $10,415,075.20 "," $25,777,311.00 "," $10,415,075.20 "
Peja Stojakovic,Knee area,TOR,50.5," $10,406,504.20 ",1," $10,406,504.20 "," $17,777,778.00 "," $10,406,504.20 "
Eddy Curry,Hip area,NYK,98," $10,367,762.20 ",1," $10,367,762.20 "," $13,888,889.00 "," $10,367,762.20 "
Brandon Knight,Unclassified,DET,49.5," $10,365,853.90 ",1," $10,365,853.90 "," $16,666,667.00 "," $10,365,853.90 "
Anderson Varejao,Ankle area,CLE,200," $10,303,748.80 ",1," $10,303,748.80 "," $11,574,074.00 "," $10,303,748.80 "
Ben Simmons,Knee area,BKN & NJN,15," $10,189,402.90 ",1," $10,189,402.90 "," $35,051,546.00 "," $10,189,402.90 "
Al Harrington,Thoracolumbar area,IND,133," $10,155,873.90 ",1," $10,155,873.90 "," $12,429,577.00 "," $10,155,873.90 "
Chris Paul,Knee area,NOH & NOK & NOP,51," $10,122,523.90 ",1," $10,122,523.90 "," $31,924,883.00 "," $10,122,523.90 "
E'Twaun Moore,Knee area,NOH & NOK & NOP,-1," $10,119,048.00 ",1," $10,119,048.00 "," $10,119,048.00 "," $10,119,048.00 "
Allen Iverson,Thoracolumbar area,DEN,111," $10,102,466.20 ",1," $10,102,466.20 "," $24,751,042.10 "," $10,102,466.20 "
George Hill,Unclassified,CLE,79," $10,049,955.80 ",1," $10,049,955.80 "," $22,891,566.00 "," $10,049,955.80 "
Grant Hill,Abdominal area,ORL,65.75," $10,026,103.00 ",1," $10,026,103.00 "," $20,553,511.10 "," $10,026,103.00 "
Taurean Prince,Knee area,CLE,286," $9,985,653.10 ",1," $9,985,653.10 "," $17,058,824.00 "," $9,985,653.10 "
Kirk Hinrich,Shoulder area,WAS,323," $9,903,435.10 ",1," $9,903,435.10 "," $9,206,010.00 "," $9,903,435.10 "
David Lee,Hip area,GSW,128.5," $9,891,750.90 ",1," $9,891,750.90 "," $17,543,860.00 "," $9,891,750.90 "
Justise Winslow,Ankle area,POR,0.5," $9,814,169.30 ",1," $9,814,169.30 "," $15,476,190.00 "," $9,814,169.30 "
Cuttino Mobley,Unclassified,NYK,-1," $9,811,061.60 ",1," $9,811,061.60 "," $11,830,986.00 "," $9,811,061.60 "
Justise Winslow,Hip area,MIA,32," $9,774,435.80 ",1," $9,774,435.80 "," $15,476,190.00 "," $9,774,435.80 "
Kentavious Caldwell-Pope,Ankle area,DET,111," $9,760,348.90 ",1," $9,760,348.90 "," $12,549,020.00 "," $9,760,348.90 "
Zach LaVine,Thigh area,CHI,371," $38,556,631.00 ",2," $19,278,315.50 "," $23,354,131.00 "," $9,639,157.75 "
Rudy Gay,Shoulder area,MEM & VAN,195.5," $9,590,643.40 ",1," $9,590,643.40 "," $11,388,889.00 "," $9,590,643.40 "
Enes Freedom,Thoracolumbar area,OKC & SEA,76," $9,574,915.70 ",1," $9,574,915.70 "," $21,604,938.00 "," $9,574,915.70 "
Kevin Durant,Knee area,OKC & SEA,49," $9,480,576.30 ",1," $9,480,576.30 "," $34,367,089.00 "," $9,480,576.30 "
Amar'e Stoudemire,Toes area,PHX,55," $9,456,639.40 ",1," $9,456,639.40 "," $27,694,444.00 "," $9,456,639.40 "
Gordon Hayward,Ankle area,CHA & CHH,53," $9,454,645.10 ",1," $9,454,645.10 "," $33,707,865.00 "," $9,454,645.10 "
Vince Carter,Knee area,ORL,38.5," $9,448,390.00 ",1," $9,448,390.00 "," $21,319,444.00 "," $9,448,390.00 "
Anderson Varejao,Heel area,CLE,318," $9,447,796.40 ",1," $9,447,796.40 "," $11,752,137.00 "," $9,447,796.40 "
Thaddeus Young,Unclassified,BKN & NJN,309," $9,401,970.00 ",1," $9,401,970.00 "," $13,525,641.00 "," $9,401,970.00 "
